IZM,"Izmir (A. Menderes)","Turquie"
ADB,"Izmir (Adnan Menderes)","Turquie"
JAI,"Jaipur","Inde"
JSA,"Jaisalmer","Inde"
HLP,"Jakarta (Halim Perdanakusuma)","Indonésie"
JKT,"Jakarta (Metropolitan Area)","Indonésie"
CGK,"Jakarta (Soekarno Hatta Int'l)","Indonésie"
JED,"Jeddah (King Abdul Aziz)","Arabie Saoudite"
JER,"Jersey","Iles Anglo normandes"
QRA,"Jo'burg (Randgermiston)","Afrique du Sud"
JDH,"Jodhpur","Inde"
GCJ,"Johannesburg (Grand Central)","Afrique du Sud"
JNB,"Johannesburg (J. Smuts)","Afrique du Sud"
JHB,"Johor Bahru","Malaisie"
KBL,"Kabul","Afghanistan"
KGD,"Kaliningrad","Russie"
EBB,"Kampala (Entebbe)","Ouganda"
KHH,"Kaohsiung International","Taiwan"
KHI,"Karachi","Pakistan"
QKA,"Karlsruhe (Forchheim)","Allemagne"
FKB,"Karlsruhe/Baden","Allemagne"
BBK,"Kasane","Botswana"
KTM,"Kathmandu (Tribhuvan)","Népal"
KTW,"Katowice (Pyrzowice)","Pologne"
KRT,"Khartoum","Soudan"
LBD,"Khudzhand","Tajikistan"
KBP,"Kiev (Borispol)","Ukraine"
IEV,"Kiev (Zhulyany)","Ukraine"
KGL,"Kigali (Kanombe)","Rwanda"
JRO,"Kilimanjaro","Tanzanie"
KIN,"Kingston (Norman Manley)","Jamaique"
KTP,"Kingston (Tinson)","Jamaica"
FIH,"Kinshasa (Ndjili)","RDC"
NLO,"Kinshasa (N'Dolo)","RDC"
UKB,"Kobe","Japon"
USM,"Koh Samui","Thailand"
KBR,"Kota Bharu","Malaisie"
BKI,"Kota Kinabalu","Malaisie"
KBV,"Krabi","Thailande"
KRK,"Krakow (Balice)","Pologne"
KUL,"Kuala Lumpur (Subang)","Malaisie"
KCH,"Kuching","Malaisie"
KMG,"Kunming (Wujlaba)","Chine"
KWI,"Kuwait International Airport","Kuwait"
UKY,"Kyoto","Japon"
LBY,"La Baule","France"
LCE,"La Ceiba (Goloson)","Honduras"
LCG,"La Coruna","Espagne"
DSD,"La Desirade","Guadeloupe"
HAV,"La Havane (Jose Marti)","Cuba"
PLP,"La Palma","Canaries"
LPB,"La Paz (El Alto)","Bolivie"
LRH,"La Rochelle (Laleu)","France"
LRM,"La Romana","République Dominicaine"
LOS,"Lagos (Murtala Muhammed)","Nigeria"
LHE,"Lahore","Pakistan"
LLI,"Lalibella","Ethiopie"
LAU,"Lamu (Mwana)","Kenya"
LGK,"Langkawi","Malaisie"
LAI,"Lannion","France"
ZGC,"Lanzhou (Zhongchuan)","Chine"
LCA,"Larnaca","Chypre"
LPA,"Las Palmas/Gran Canaria","Canaries"
